STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20150220,0.00,12.0,0.0
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20150221,0.00,11.5,0.0
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20150222,0.49,15.5,4.3
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20150223,0.00,15.0,0.0
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20150224,0.00,15.0,0.0
GHCND:USC00186800,OXON HILL MD US,20150217,0.50,5.0,4.8
GHCND:USC00186800,OXON HILL MD US,20150218,0.00,5.0,0.0
GHCND:USC00186800,OXON HILL MD US,20150219,0.00,5.0,0.1
GHCND:USC00186800,OXON HILL MD US,20150220,0.01,5.0,0.3
GHCND:USC00186800,OXON HILL MD US,20150221,0.00,4.0,0.0
GHCND:USC00186800,OXON HILL MD US,20150222,0.86,5.0,2.5
GHCND:USC00186800,OXON HILL MD US,20150223,0.00,2.0,0.0
GHCND:USC00186800,OXON HILL MD US,20150224,0.00,2.0,0.0
GHCND:US1MDMG0029,CLARKSBURG 2.1 NE MD US,20150217,0.11,4.0,1.5
GHCND:US1MDMG0029,CLARKSBURG 2.1 NE MD US,20150218,0.04,3.5,0.4
GHCND:US1MDMG0029,CLARKSBURG 2.1 NE MD US,20150219,0.00,3.0,0.0
GHCND:US1MDMG0029,CLARKSBURG 2.1 NE MD US,20150220,0.00,3.0,0.0
GHCND:US1MDMG0029,CLARKSBURG 2.1 NE MD US,20150221,0.95,13.0,10.5
GHCND:US1MDMG0029,CLARKSBURG 2.1 NE MD US,20150222,0.03,9.0,0.0
GHCND:US1MDMG0029,CLARKSBURG 2.1 NE MD US,20150223,0.00,8.0,0.0
GHCND:US1MDMG0029,CLARKSBURG 2.1 NE MD US,20150224,0.00,8.0,0.0
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,20150217,0.00,3.0,0.0
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,20150218,0.00,0.0,0.0
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,20150219,0.00,0.0,0.0
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,20150220,0.00,-9999,-9999
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,20150221,0.00,0.0,0.0
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,20150222,0.40,5.0,5.0
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,20150223,0.00,0.0,0.0
GHCND:USC00182325,DALECARLIA RESERVOIR DC US,20150224,0.00,0.0,0.0
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,20150217,0.02,11.5,1.3
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,20150218,0.00,11.5,0.5
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,20150219,0.00,11.0,0.0
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,20150220,0.00,10.5,0.0
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,20150221,0.00,10.5,0.0
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,20150222,0.46,14.0,3.7
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,20150223,0.00,12.5,0.0
GHCND:US1NJBG0029,OAKLAND 0.2 WNW NJ US,20150224,0.00,12.5,0.0
GHCND:US1MDMG0024,WHITE OAK 1.2 N MD US,20150217,0.39,4.0,4.1
GHCND:US1MDMG0024,WHITE OAK 1.2 N MD US,20150218,0.00,3.0,0.0
GHCND:US1MDMG0024,WHITE OAK 1.2 N MD US,20150219,0.01,3.0,0.1
GHCND:US1MDMG0024,WHITE OAK 1.2 N MD US,20150220,0.00,3.0,0.0
GHCND:US1MDMG0024,WHITE OAK 1.2 N MD US,20150221,0.00,3.0,0.0
GHCND:US1MDMG0024,WHITE OAK 1.2 N MD US,20150222,0.99,7.0,5.5
